Matrix-K,Diamond-lambda,ITC,V,D_eq,Matrix-E,Matrix-JC-A,Matrix-JC-B,Matrix-JC-m,Interface-E,Interface-eta,Interface-t,effective-K,effective-a,CTE_list
223.863716,399.4963998,227.7654822,0.112099033,0.614427162,70377.61123,52.01245995,100.5573408,0.769178494,456995.8058,2.569998945,0.000447423,204.0528373,2.04E-05,"[-3.42592962020991e-09, 2.00263219315876e-05, 2.00342649942514e-05, 2.00659533833097e-05, 2.01595208381017e-05, 2.03738065098768e-05, 2.05046091328809e-05, 2.05641269438949e-05, 2.06074948120537e-05, 2.06407122596056e-05, 2.06667191610518e-05]"
191.5188978,454.0498365,9601.475953,0.198374441,0.185854219,70674.12505,67.01122568,109.19085,0.60716747,495603.024,2.247211905,0.000835096,234.8331562,1.83E-05,"[-7.60882942356519e-09, 1.78267710498833e-05, 1.7844747785606e-05, 1.78849119621789e-05, 1.79485848518171e-05, 1.80641887343003e-05, 1.82901950208169e-05, 1.85144477944551e-05, 1.86349154093443e-05, 1.87044172484026e-05, 1.87579257834979e-05]"
143.351419,315.5160333,3619.39611,0.222607036,0.095247492,70853.02619,31.34403965,126.4285398,0.420264194,250824.5935,1.665561705,0.000624198,149.353518,1.76E-05,"[-9.69621272120483e-09, 1.6817533185476e-05, 1.68977819245681e-05, 1.71360558430002e-05, 1.75687887908507e-05, 1.77821872554664e-05, 1.78868267011484e-05, 1.79571478244426e-05, 1.80075679594459e-05, 1.80449817586561e-05, 1.80736389279473e-05]"
148.1611277,237.9668409,489.7762408,0.092436826,0.487814606,70771.21673,56.02960379,110.2168564,0.631051329,218788.2457,2.152409472,0.000247082,147.7884117,2.11E-05,"[-8.39284591862583e-09, 2.08504941697577e-05, 2.08538862792935e-05, 2.08623085981675e-05, 2.08890664812549e-05, 2.10098869436552e-05, 2.11718500337701e-05, 2.12420500698794e-05, 2.12767569913606e-05, 2.13035222276707e-05, 2.13258641776042e-05]"
183.8149096,176.0760453,585.1856412,0.442987063,0.977368731,70193.03213,61.67336778,138.014871,0.364067811,438510.9832,2.687968366,0.000941466,223.8954978,1.18E-05,"[2.70174311969695e-09, 1.10640795092714e-05, 1.11085996313142e-05, 1.1211044233473e-05, 1.13767700146375e-05, 1.15642270795419e-05, 1.17977337114889e-05, 1.20764614916846e-05, 1.2326103586087e-05, 1.25003404832609e-05, 1.26139320419924e-05]"
211.6127873,200.9283726,857.4998363,0.167174848,0.881078141,70237.64514,39.99288541,130.2063398,0.514638372,330826.5872,2.027422883,0.000787625,236.972347,1.90E-05,"[-1.00336828998949e-08, 1.84700786089662e-05, 1.8503698569209e-05, 1.8572686045394e-05, 1.88316731869368e-05, 1.91217481132225e-05, 1.92276923993816e-05, 1.9291913899336e-05, 1.93433643197908e-05, 1.93832843712194e-05, 1.94141969916642e-05]"
219.0379324,348.7965001,760.3855907,0.286693532,0.272817512,69139.0707,35.40796655,132.7020092,0.58404637,278290.5084,2.618665765,0.000984243,184.3931988,1.59E-05,"[1.04162822448201e-09, 1.48750016144596e-05, 1.50091727564726e-05, 1.52495851530582e-05, 1.57177434168003e-05, 1.60730707414821e-05, 1.62201297416963e-05, 1.63076633337754e-05, 1.63691045162772e-05, 1.64147340911745e-05, 1.64490976976476e-05]"
197.207101,263.8026321,18359.05035,0.109979425,0.377728346,69752.76816,36.04707506,124.5216609,0.328287403,211017.7096,1.934539103,0.000663391,240.4978246,2.05E-05,"[6.04116645864386e-09, 2.00600589191789e-05, 2.00837819548716e-05, 2.01371300701505e-05, 2.03087115442598e-05, 2.04742645949342e-05, 2.05541086341959e-05, 2.06058754628688e-05, 2.06445667522833e-05, 2.06746533635938e-05, 2.06987313121187e-05]"
157.4769814,378.5224161,6127.235082,0.192086399,0.70158345,69595.44212,45.57486706,122.9096131,0.202936359,310345.9481,2.311488979,0.000160631,223.2216822,1.81E-05,"[1.12548927132141e-08, 1.76512705139667e-05, 1.76691467978175e-05, 1.77079816178244e-05, 1.77650074147143e-05, 1.78748627803764e-05, 1.80653630293517e-05, 1.82532344839078e-05, 1.83862254862064e-05, 1.84774481804672e-05, 1.8544700211519e-05]"
209.7516073,472.3558043,9230.620325,0.260389573,0.82481703,69955.19015,42.14436736,121.4347112,0.738039782,392400.5606,2.114736286,0.000226339,322.0662623,1.67E-05,"[-4.49979068923535e-09, 1.58157820976954e-05, 1.5876283478565e-05, 1.60225115294591e-05, 1.63489019699757e-05, 1.67720220554596e-05, 1.69687593300852e-05, 1.70615130629861e-05, 1.71241419407373e-05, 1.71713798550472e-05, 1.72078329660985e-05]"
